timestamp,leader_pwm,leader_norm,leader_range_pct,piper_gripper_pos,piper_gripper_norm,norm_diff,event
1769400967.9987588,1887,0.0,-1.1725293132328307,95900,9.59,9.59,
1769400968.0492027,1887,0.0,-1.1725293132328307,95900,9.59,9.59,
1769400968.0996826,1887,0.0,-1.1725293132328307,95900,9.59,9.59,
1769400968.1501386,1887,0.0,-1.1725293132328307,95900,9.59,9.59,
1769400968.2005913,1887,0.0,-1.1725293132328307,95900,9.59,9.59,
1769400968.2510173,1887,0.0,-1.1725293132328307,95900,9.59,9.59,
1769400968.3014574,1887,0.0,-1.1725293132328307,95900,9.59,9.59,
1769400968.3520758,1887,0.0,-1.1725293132328307,95900,9.59,9.59,
1769400968.4028416,1887,0.0,-1.1725293132328307,95900,9.59,9.59,
1769400968.453332,1887,0.0,-1.1725293132328307,95900,9.59,9.59,
1769400968.5037699,1887,0.0,-1.1725293132328307,95900,9.59,9.59,
1769400968.554235,1887,0.0,-1.1725293132328307,95900,9.59,9.59,
1769400968.6046486,1887,0.0,-1.1725293132328307,95900,9.59,9.59,
1769400968.6550868,1887,0.0,-1.1725293132328307,95900,9.59,9.59,
1769400968.705506,1887,0.0,-1.1725293132328307,95900,9.59,9.59,
1769400968.7559254,1887,0.0,-1.1725293132328307,95900,9.59,9.59,
1769400968.806356,1887,0.0,-1.1725293132328307,95900,9.59,9.59,
1769400968.856982,1887,0.0,-1.1725293132328307,95900,9.59,9.59,
1769400968.9075828,1887,0.0,-1.1725293132328307,95900,9.59,9.59,
1769400968.9581168,1887,0.0,-1.1725293132328307,95900,9.59,9.59,
1769400969.008643,1887,0.0,-1.1725293132328307,95900,9.59,9.59,
1769400969.0590818,1887,0.0,-1.1725293132328307,95900,9.59,9.59,
1769400969.1095035,1887,0.0,-1.1725293132328307,95900,9.59,9.59,
1769400969.159953,1887,0.0,-1.1725293132328307,95900,9.59,9.59,
1769400969.2103739,1887,0.0,-1.1725293132328307,95900,9.59,9.59,
1769400969.2608523,1887,0.0,-1.1725293132328307,95900,9.59,9.59,
1769400969.3112884,1887,0.0,-1.1725293132328307,95900,9.59,9.59,
1769400969.3623326,1887,0.0,-1.1725293132328307,95900,9.59,9.59,
1769400969.412986,1887,0.0,-1.1725293132328307,95900,9.59,9.59,
1769400969.4635098,1887,0.0,-1.1725293132328307,95900,9.59,9.59,
1769400969.513934,1887,0.0,-1.1725293132328307,95900,9.59,9.59,
1769400969.564383,1887,0.0,-1.1725293132328307,95900,9.59,9.59,
1769400969.614848,1887,0.0,-1.1725293132328307,95900,9.59,9.59,
1769400969.6652784,1887,0.0,-1.1725293132328307,95900,9.59,9.59,
1769400969.7157242,1887,0.0,-1.1725293132328307,95900,9.59,9.59,
1769400969.7661495,1887,0.0,-1.1725293132328307,95900,9.59,9.59,
1769400969.8167713,1887,0.0,-1.1725293132328307,95900,9.59,9.59,
1769400969.867259,1887,0.0,-1.1725293132328307,95900,9.59,9.59,
1769400969.9179027,1887,0.0,-1.1725293132328307,95900,9.59,9.59,
